시군명,공동주택명정보,읍면동주소,지번주소,사용검사일자,층수,동수,세대수,의무관리대상여부,addr,x,y,lng,lat
의왕시,KT이자리에,오전동,333,2004-11-29,22,3,182,Y,경기도 의왕시 오전동 333,953557.781451749,1928041.69963887,126.97562390238785,37.35024902192283
의왕시,골드클래스,학의동,823-2,2019-05-03,16,8,420,N,경기도 의왕시 학의동 823-2,957109.109536009,1930673.93841674,127.01556786416455,37.374145792675954
의왕시,남양모란,오전동,358-19,1999-12-24,16,1,128,N,경기도 의왕시 오전동 358-19,953529.823673671,1928459.90041656,126.97528200909403,37.35401708072546
의왕시,뉴서울국화,오전동,838-3,1994-12-15,18,2,220,Y,경기도 의왕시 오전동 838-3,952799.765084006,1928974.01109952,126.96700610974504,37.358614162543326
의왕시,대명구름채,오전동,28,2004-12-21,23,6,518,Y,경기도 의왕시 오전동 28,952811.348472896,1929315.1928901,126.96711516272902,37.361689990369946
의왕시,대명솔채,오전동,887,2009-11-06,24,8,445,Y,경기도 의왕시 오전동 887,953155.636140008,1929075.61862815,126.9710180873182,37.359548040372296
의왕시,대영,포일동,537-6,1981-10-24,3,1,28,N,경기도 의왕시 포일동 537-6,953986.09730414,1932666.76764569,126.98017223116807,37.39195837305009
의왕시,대우이안,삼동,462-20,2003-09-22,25,9,688,Y,경기도 의왕시 삼동 462-20,951751.178658261,1925091.9429011,126.9554184848866,37.32356919082303
의왕시,대원칸타빌1단지,내손동,795,2002-10-19,18,4,394,Y,경기도 의왕시 내손동 795,953114.310190594,1931066.25006115,126.97042533803919,37.37748847266275
의왕시,대원칸타빌2단지,내손동,799,2002-10-19,20,4,322,Y,경기도 의왕시 내손동 799,953073.510863938,1930927.3805009,126.96997333527882,37.37623471193104
의왕시,동백,오전동,849,1995-12-16,19,12,1074,Y,경기도 의왕시 오전동 849,953171.273984218,1928742.40977288,126.971215739473,37.356545452313625
의왕시,동부새롬아파트,포일동,533-5,1997-11-20,23,1,269,Y,경기도 의왕시 포일동 533-5,954029.704008142,1932684.72728894,126.98066372906412,37.39212241612534
의왕시,동아에코빌,포일동,518,2001-06-25,23,5,541,Y,경기도 의왕시 포일동 518,954200.003927937,1932717.9913665,126.98258551102361,37.392430674357435
의왕시,동우,오전동,산219-1,1985-04-01,3,1,30,N,경기도 의왕시 오전동 산219-1,953413.729696865,1928178.16018451,126.97398890411517,37.3514717901922
의왕시,래미안에버하임,내손동,842,2009-03-31,25,10,696,Y,경기도 의왕시 내손동 842,953672.973646847,1932250.82660977,126.97666101097992,37.38819370305706
의왕시,모락산동문,오전동,886,2008-10-30,15,2,176,Y,경기도 의왕시 오전동 886,953611.569321881,1928198.4995282,126.97622137555987,37.351665030816505
의왕시,모락산현대,오전동,100,2002-11-05,24,19,1614,Y,경기도 의왕시 오전동 100,952999.824660264,1929327.85016151,126.96924267086763,37.36181364590441
의왕시,목련풍림,오전동,842,1994-10-05,18,2,354,Y,경기도 의왕시 오전동 842,953105.961455988,1928574.67551167,126.97048888787604,37.35503028030969
의왕시,무궁화선경,오전동,854,1995-08-30,19,4,370,Y,경기도 의왕시 오전동 854,953839.493734641,1928164.85823197,126.9787969025983,37.351373170971144
의왕시,미라보매화,오전동,104,1997-11-06,21,1,265,Y,경기도 의왕시 오전동 104,952898.342725804,1929102.97371035,126.9681110197545,37.35978157652467
의왕시,민들레,오전동,388-1,2000-06-23,22,5,369,Y,경기도 의왕시 오전동 388-1,953903.995032491,1927937.11224111,126.97953933741657,37.349323583835535
의왕시,반도보라1단지,내손동,771,2002-06-21,20,9,560,Y,경기도 의왕시 내손동 771,953623.159271148,1931045.31890933,126.97617388837564,37.37732540605816
의왕시,반도보라2단지,내손동,774,2002-06-21,20,9,766,Y,경기도 의왕시 내손동 774,953332.913896949,1930885.29576918,126.9729057890138,37.375868476372254
의왕시,백운,삼동,170-8,2001-12-14,8,1,25,N,경기도 의왕시 삼동 170-8,951439.337072677,1924492.61922541,126.95193812388219,37.31815091960716
의왕시,백운밸리레이크포레2단지,학의동,783-1,2020-01-20,16,4,250,N,경기도 의왕시 학의동 783-1,957086.441741883,1930471.29714159,127.01532360266091,37.372318229098184
의왕시,백운밸리레이크포레4단지,학의동,896,2020-01-20,16,6,344,N,경기도 의왕시 학의동 896,956082.226732765,1929976.25843904,127.0040115093084,37.36780916306067
의왕시,백합아파트,오전동,841,1994-03-29,19,5,460,Y,경기도 의왕시 오전동 841,953014.154419832,1928713.84130362,126.96944344644236,37.35628000632225
의왕시,삼성래미안,내손동,414,2001-04-16,22,7,586,Y,경기도 의왕시 내손동 414,953625.680439459,1932415.39430908,126.97611645617305,37.38967466171344
의왕시,삼성미도봉선화,오전동,313,1999-01-06,18,1,76,N,경기도 의왕시 오전동 313,953348.83213843,1928303.46740982,126.97324827462167,37.35259798773248
의왕시,삼신8차,삼동,130-11,1986-06-19,5,3,270,N,경기도 의왕시 삼동 130-11,951727.619125586,1924570.5361913,126.95518650810095,37.31886825099084
의왕시,삼신9차,오전동,산149-3,1986-12-23,4,6,296,N,경기도 의왕시 오전동 산149-3,953704.69287633,1928252.07656293,126.97726945885931,37.35215259918365
의왕시,삼호1차 한아름,삼동,115-1,1993-09-15,20,1,211,Y,경기도 의왕시 삼동 115-1,951794.385448239,1924302.08033355,126.95595745837852,37.316451980840114
의왕시,삼호2차 한아름,삼동,125,1994-02-01,20,1,267,Y,경기도 의왕시 삼동 125,951798.306871186,1924457.97091959,126.95599158653651,37.31785731014197
의왕시,삼호백조,오전동,358-1,1992-06-24,18,2,269,Y,경기도 의왕시 오전동 358-1,953570.175694305,1928281.25445821,126.9757488247508,37.352408873268125
의왕시,새천년미주,삼동,282-2,2000-06-26,20,4,299,Y,경기도 의왕시 삼동 282-2,951888.152890288,1925140.56824002,126.95696128733037,37.324014581860126
의왕시,세양청마루,내손동,401-1,2005-04-16,15,1,105,N,경기도 의왕시 내손동 401-1,953514.734523605,1932321.72892715,126.9748690541386,37.38882485381337
의왕시,솔거,왕곡동,600,1994-07-28,18,3,498,Y,경기도 의왕시 왕곡동 600,953750.742729489,1927322.72551321,126.97784741211403,37.34377816785776
의왕시,신미주해당화,오전동,233,2000-11-22,22,2,216,Y,경기도 의왕시 오전동 233,953245.632758868,1928962.34926936,126.9720414710421,37.35853162752361
의왕시,신안,오전동,216-1,1991-10-28,15,3,576,Y,경기도 의왕시 오전동 216-1,952845.213155837,1928879.22599247,126.96752533338625,37.35776212893701
의왕시,신안포은,왕곡동,602,1994-12-21,18,5,342,Y,경기도 의왕시 왕곡동 602,953889.562275686,1927393.24965682,126.97941023264816,37.344420746326726
의왕시,신양빌리지,고천동,516,1994-03-21,5,1,49,N,경기도 의왕시 고천동 516,953681.488697845,1927821.17902256,126.97703440699263,37.348267537904356
의왕시,신우(A동),삼동,166-22,1985-11-30,5,1,25,N,경기도 의왕시 삼동 166-22,951387.129714725,1924640.93905389,126.95133921170812,37.31948507432737
의왕시,신우5차(B동),삼동,168-7,1986-07-08,5,1,50,N,경기도 의왕시 삼동 168-7,951400.11625984,1924556.5574872,126.95149130324656,37.31872517811626
의왕시,신원수선화,오전동,24,2000-07-08,22,5,389,Y,경기도 의왕시 오전동 24,952652.232104212,1929726.83763838,126.96529206182426,37.36539223431706
의왕시,쌍용개나리,오전동,856,1994-07-29,15,2,166,Y,경기도 의왕시 오전동 856,954008.716281968,1927969.39726484,126.98071967515014,37.34961978170894
의왕시,쌍용충무,왕곡동,603,1994-03-17,18,4,332,Y,경기도 의왕시 왕곡동 603,953838.931446177,1927507.69428726,126.97883149955028,37.34544977967454
의왕시,영광,고천동,503-1,1990-05-21,15,1,157,Y,경기도 의왕시 고천동 503-1,953734.266791929,1927886.07662297,126.97762623002,37.3488551266287
의왕시,영광(저층),고천동,517,1989-12-29,5,1,35,N,경기도 의왕시 고천동 517,953692.354029529,1927833.2990086,126.97715632131477,37.34837732391073
의왕시,영동,삼동,192-244,2002-09-10,8,1,48,N,경기도 의왕시 삼동 192-244,951401.266509056,1924888.35732912,126.9514825499994,37.321715925236305
의왕시,오봉산마을 1단지,고천동,22433,2020-08-18,25,10,2200,N,경기도 의왕시 고천동 22433,,,,
의왕시,우미린,내손동,843,2009-08-12,20,3,166,Y,경기도 의왕시 내손동 843,953510.35978145,1932180.584492,126.97482851003416,37.38755243490828
의왕시,우성2차,삼동,178,1983-12-29,5,3,118,N,경기도 의왕시 삼동 178,951604.29862472,1924529.74192905,126.95379740237668,37.318494134395664
의왕시,우성4차,삼동,244-1,1985-08-24,5,3,180,N,경기도 의왕시 삼동 244-1,951781.276883197,1924793.95224576,126.95577755699043,37.3208848058779
의왕시,우성5차,삼동,146,1986-01-24,5,7,545,Y,경기도 의왕시 삼동 146,951522.109524003,1924311.36152802,126.95288410759302,37.31652147012515
의왕시,우성6차,삼동,146-71,1986-06-30,5,8,370,Y,경기도 의왕시 삼동 146-71,951395.268996603,1924219.82920649,126.95145865522673,37.315689813432705
의왕시,운양까치,삼동,121-6,1992-06-16,13,1,178,Y,경기도 의왕시 삼동 121-6,951730.633114389,1924306.8617272,126.95523767616665,37.31649176810258
의왕시,원효,왕곡동,599,1994-03-24,17,4,406,Y,경기도 의왕시 왕곡동 599,953693.303216641,1927437.73508918,126.97719175957765,37.34481194602071
의왕시,의왕내손이편한세상,내손동,846,2012-10-29,25,32,2422,Y,경기도 의왕시 내손동 846,953858.937525249,1931978.16632863,126.97877870883667,37.38574536714557
의왕시,의왕내손주공,내손동,791,2003-06-20,20,8,822,N,경기도 의왕시 내손동 791,953216.99927498,1931161.47633065,126.97157914592675,37.3783519795905
의왕시,의왕더?캐슬,오전동,52,2021-06-29,38,8,941,Y,경기도 의왕시 오전동 52,952551.647039796,1929198.2935434,126.96419005412194,37.360623071671164
의왕시,의왕백운 해링턴 플레이스 1단지,학의동,687-2,2019-03-30,16,18,958,Y,경기도 의왕시 학의동 687-2,956110.040389396,1930294.06266898,127.00430676760605,37.37067501729187
의왕시,의왕백운 해링턴 플레이스 2단지,학의동,704-1,2019-03-30,16,11,534,Y,경기도 의왕시 학의동 704-1,956156.264950108,1930347.28358241,127.00482565694507,37.371156912195225
의왕시,의왕백운 해링턴 플레이스 3단지,학의동,754-22,2019-03-30,16,4,182,Y,경기도 의왕시 학의동 754-22,956586.723415219,1930435.3374123,127.00968195707661,37.37197084203272
의왕시,의왕백운 해링턴 플레이스 4단지,학의동,754-20,2019-03-30,16,5,220,Y,경기도 의왕시 학의동 754-20,956619.611319726,1930384.18341222,127.01005638578017,37.37151130305793
의왕시,의왕백운 해링턴 플레이스 5단지,학의동,743-5,2019-03-30,16,10,586,Y,경기도 의왕시 학의동 743-5,956556.619863534,1930285.96041639,127.00935074219282,37.37062301772105
의왕시,의왕상록,내손동,790,2002-12-04,20,6,447,Y,경기도 의왕시 내손동 790,953383.59175493,1931118.11866407,126.97346349177609,37.377969568902124
의왕시,의왕서해그랑블,오전동,892,2018-11-22,42,4,536,Y,경기도 의왕시 오전동 892,953377.236287975,1928054.59277162,126.9735846456132,37.35035618078989
의왕시,의왕역 행복주택,삼동,160-27,2020-01-22,7,1,50,N,경기도 의왕시 삼동 160-27,951266.002647024,1924491.22457265,126.94998202309637,37.31812927234739
의왕시,의왕파크푸르지오,삼동,616,2019-01-18,24,12,1068,Y,경기도 의왕시 삼동 616,952488.013801325,1924521.66767632,126.96377128525353,37.318466972727514
의왕시,의왕푸르지오 포레움 1블럭,삼동,594,2020-02-03,24,2,194,Y,경기도 의왕시 삼동 594,952103.622282611,1924754.07165892,126.95941814681512,37.32054201704964
의왕시,의왕푸르지오 포레움 2블럭,삼동,607,2020-02-03,23,6,416,Y,경기도 의왕시 삼동 607,952135.360167167,1924642.10143351,126.95978356528846,37.31953440481412
의왕시,이화성원1차,오전동,230,2000-06-09,22,6,520,Y,경기도 의왕시 오전동 230,953050.747383637,1928955.72700004,126.96984129693281,37.35846209506633
의왕시,이화성원2차,오전동,104-20,1999-10-09,17,3,201,Y,경기도 의왕시 오전동 104-20,953014.062062604,1929056.27414929,126.96942067647412,37.359366518920076
의왕시,인덕원삼호,포일동,441-2,1993-03-23,15,7,684,Y,경기도 의왕시 포일동 441-2,954061.613012983,1933228.28580544,126.98099041760419,37.39702334011478
의왕시,인덕원푸르지오엘센트로,포일동,487-22,2020-06-29,43,12,1774,Y,경기도 의왕시 포일동 487-22,954340.12010375,1932928.32235667,126.98415538969324,37.394333400578816
의왕시,인스빌,왕곡동,592,1994-10-25,18,8,504,Y,경기도 의왕시 왕곡동 592,954030.028239812,1927652.09535242,126.98097998398613,37.34676082806114
의왕시,장미,삼동,462-32,1995-09-27,12,3,520,Y,경기도 의왕시 삼동 462-32,951783.3915915,1925003.17291545,126.95578782534781,37.322770732712094
의왕시,장안마을주공,삼동,556,2005-07-08,15,8,467,N,경기도 의왕시 삼동 556,951695.312576843,1924683.29515958,126.95481456251524,37.31988292847089
의왕시,진달래,오전동,21,1998-04-27,21,4,566,Y,경기도 의왕시 오전동 21,952705.940186201,1929881.4797915,126.96588869366411,37.36678883843037
의왕시,청계마을5단지,청계동,971,2007-07-11,12,7,244,N,경기도 의왕시 청계동 971,955819.300862401,1932593.92349085,127.00088589866796,37.39139101901573
의왕시,청계주공4단지,청계동,966,2007-09-18,15,8,339,Y,경기도 의왕시 청계동 966,955861.188112879,1932827.92844972,127.00134511536794,37.39350221642724
의왕시,청년이룸 1단지,포일동,678,2020-12-14,15,1,110,N,경기도 의왕시 포일동 678,955069.90345734,1933706.94130184,126.9923525178497,37.401387136487784
의왕시,청호,오전동,산148-1,1990-02-12,5,2,95,N,경기도 의왕시 오전동 산148-1,953809.78609394,1928111.81834239,126.97846479047915,37.350893616535245
의왕시,평촌삼성래미안,포일동,537-15,2000-05-29,12,1,70,N,경기도 의왕시 포일동 537-15,953920.83164992,1932714.17683622,126.97943198548289,37.39238245034793
의왕시,포일 숲속마을(1단지),포일동,658,2011-05-17,15,7,659,N,경기도 의왕시 포일동 658,954463.091290354,1933286.89306253,126.98552252007592,37.39757141610092
의왕시,포일 숲속마을(3단지),포일동,645,2011-09-15,15,7,366,Y,경기도 의왕시 포일동 645,954500.563110466,1933986.49427352,126.98590278622477,37.4038790811649
의왕시,포일 숲속마을(4단지),포일동,646,2011-11-18,15,9,510,Y,경기도 의왕시 포일동 646,954353.21683846,1933675.55731429,126.98425719405168,37.40106921610973
의왕시,포일숲속마을(2단지),포일동,652,2013-05-07,15,11,840,N,경기도 의왕시 포일동 652,954691.952829227,1933699.7675603,126.98808279748133,37.40130406552017
의왕시,포일숲속마을(5단지),포일동,649,2012-12-20,15,8,330,Y,경기도 의왕시 포일동 649,954647.412714331,1933935.60331771,126.98756509995222,37.40342758060749
의왕시,포일자이,내손동,844,2009-11-24,25,38,2540,Y,경기도 의왕시 내손동 844,953509.055071621,1931882.16218288,126.97483253341807,37.384862551600925
의왕시,푸른마을대우,포일동,523,2001-04-28,25,4,408,Y,경기도 의왕시 포일동 523,954133.297117653,1932823.83064954,126.98182536812496,37.393381352787316
의왕시,한광샤인빌리지,오전동,44790,2005-01-31,4,4,54,N,경기도 의왕시 오전동 44790,,,,
의왕시,한일나래아파트,포일동,533-1,1997-10-30,21,1,214,Y,경기도 의왕시 포일동 533-1,953969.804730304,1932730.51571338,126.97998420856497,37.39253215440555
의왕시,한진로즈힐,오전동,44223,2004-08-30,23,11,998,Y,경기도 의왕시 오전동 44223,,,,
의왕시,호수마을1단지,포일동,638,2009-07-10,21,8,450,Y,경기도 의왕시 포일동 638,953825.189813358,1932565.96271016,126.97836079360502,37.39104176714657
의왕시,호수마을2단지,포일동,643,2009-10-30,27,6,447,Y,경기도 의왕시 포일동 643,953959.462965888,1932592.2755832,126.9798759884506,37.39128561874387
의왕시,효성청솔,삼동,130-1,1997-09-09,20,4,472,Y,경기도 의왕시 삼동 130-1,951766.407195681,1924583.3980637,126.95562342522615,37.318986196629275
의왕시,휴먼시아 청계마을3단지,청계동,972,2007-07-11,15,7,506,N,경기도 의왕시 청계동 972,955702.873830147,1932696.42796323,126.99956451381718,37.392309383006186
의왕시,휴먼시아청계마을 1단지,청계동,982,2009-11-10,15,7,266,Y,경기도 의왕시 청계동 982,955389.888146429,1932503.20561757,126.99604042176415,37.390552760232424
의왕시,휴먼시아청계마을 6단지,청계동,980,2007-07-11,12,7,243,N,경기도 의왕시 청계동 980,955755.63789294,1932478.36937956,127.0001736315883,37.390346435469816
